frame,visible_points,correct_points,accuracy_percent,band_lo,band_hi,band_med,band_mad
0,149,140,93.95973154362416,1.429499864578247,1.624500036239624,1.5269999504089355,0.03900003433227539
1,146,139,95.20547945205479,1.4288249135017392,1.6245750308036802,1.5266999721527097,0.03915002346038818
2,145,139,95.86206896551724,1.428727420568466,1.6242525541782376,1.5264899873733517,0.03910502672195434
3,143,133,93.00699300699301,1.431359230160713,1.6237267349958417,1.5275429825782774,0.038473500967025745
4,143,133,93.00699300699301,1.4359764835000037,1.6238837218642233,1.5299301026821135,0.03758144767284392
5,143,132,92.3076923076923,1.4409334626328942,1.6249686582338805,1.5329510604333874,0.03680703912019729
6,145,131,90.34482758620689,1.444403365907311,1.6287280929502246,1.5365657294287678,0.03686494540858268
7,145,129,88.96551724137932,1.4483323861758586,1.6328596064141867,1.5405959962950226,0.03690544404766559
8,145,128,88.27586206896552,1.452882712952343,1.6375516784274609,1.545217195689902,0.03693379309502362
9,146,128,87.67123287671232,1.4581678431336411,1.6429362090884467,1.550552026111044,0.036953673190961114
10,146,128,87.67123287671232,1.46516749906272,1.6485053752582444,1.5568364371604821,0.03666757523910491
11,146,128,87.67123287671232,1.4711172536354382,1.653453786999466,1.5622855203174522,0.036467306672805566
12,144,126,87.5,1.4784320859848243,1.658567609271742,1.5684998476282832,0.036027104657383575
13,143,126,88.1118881118881,1.4850525029616701,1.6636473191946108,1.5743499110781405,0.03571896324658818
14,143,126,88.1118881118881,1.4922367173117401,1.6682531473257691,1.5802449323187546,0.03520328600280581
15,143,124,86.7132867132867,1.4992156511920094,1.6749272809478624,1.5870714660699359,0.03514232595117061
16,143,124,86.7132867132867,1.5062009851598916,1.6816990759210872,1.5939500305404894,0.0350996181522391
17,143,124,86.7132867132867,1.5122907034878854,1.6876393169528208,1.599965010220353,0.03506972269298705
18,143,123,86.01398601398601,1.5189534932998265,1.6911975112811892,1.6050755022905079,0.03444880359627257
19,143,123,86.01398601398601,1.5236174819309722,1.6996882058262148,1.6116528438785935,0.03521414477904851
20,143,123,86.01398601398601,1.526882273972774,1.7056316920077326,1.6162569829902533,0.03574988360699167
21,143,123,86.01398601398601,1.5301426471417359,1.708517135338869,1.6193298912403025,0.035674897639426634
22,143,125,87.41258741258741,1.5341498906216668,1.7115119822917584,1.6228309364567126,0.03547241833401832
23,142,123,86.61971830985915,1.5373299338779003,1.713233402338499,1.6252816681081996,0.03518069369211971
24,142,123,86.61971830985915,1.539180964514892,1.713313361681314,1.626247163098103,0.03482647943328446
25,142,125,88.02816901408451,1.5408517034845515,1.7129943156975194,1.6269230095910354,0.03442852244259355
26,142,125,88.02816901408451,1.5393212108212584,1.7130710243499654,1.6261961175856119,0.034749962705741384
27,142,127,89.43661971830986,1.5386998959261686,1.7105746995927356,1.624637297759452,0.0343749607333134
28,141,129,91.48936170212765,1.535639879655337,1.7084523709679666,1.6220461253116518,0.03456249826252592
29,141,129,91.48936170212765,1.5313979310652086,1.7048666249161477,1.6181322779906782,0.034693738770187825
30,149,133,89.26174496644295,1.525278545022242,1.7037066121212503,1.614492578571746,0.03568561341980164
31,142,129,90.84507042253522,1.519719959914846,1.7008696426469387,1.6102948012808924,0.036229936546418526
32,142,131,92.25352112676056,1.5134289454759298,1.6964837591511817,1.6049563523135557,0.03661096273505034
33,143,132,92.3076923076923,1.5067002608317928,1.69183861180782,1.5992694363198063,0.0370276701952054
34,142,132,92.95774647887323,1.500190133229609,1.6852870690350508,1.59273860113233,0.03701938716108836
35,142,134,94.36619718309859,1.4931581160058587,1.6804758981135828,1.5868170070597207,0.03746355642154481
36,142,133,93.66197183098592,1.4874107101004326,1.674033068884128,1.5807218894922803,0.03732447175673908
