frame,visible_points,correct_points,accuracy_percent,band_lo,band_hi,band_med,band_mad
0,148,141,95.27027027027027,1.4307500720024109,1.6232498288154602,1.5269999504089355,0.03849995136260986
1,144,136,94.44444444444444,1.430750027298927,1.6232498735189436,1.5269999504089353,0.03849996924400329
2,143,135,94.4055944055944,1.4310500100255013,1.6235499188303946,1.527299964427948,0.03849998176097869
3,144,134,93.05555555555556,1.4328350357711315,1.6245849533379075,1.5287099945545195,0.03834998351335525
4,144,134,93.05555555555556,1.437234522178769,1.625459484502673,1.531347003340721,0.0376449924647808
5,144,133,92.36111111111111,1.4408391156718134,1.627346644373238,1.5340928800225258,0.03730150574028491
6,143,131,91.60839160839161,1.444187387550622,1.62874267766878,1.536465032609701,0.036911058023631566
7,143,127,88.81118881118881,1.4481812013261763,1.6328698157171753,1.5405255085216758,0.03693772287819981
8,144,127,88.19444444444444,1.4524018660337996,1.6379338424633187,1.5451678542485592,0.03710639528590381
9,144,127,88.19444444444444,1.4573812918470195,1.6427536760629387,1.550067483954979,0.03707447684318381
10,144,127,88.19444444444444,1.4634918784721815,1.6480026024980168,1.5557472404850992,0.03690214480516702
11,144,127,88.19444444444444,1.4698693425393985,1.6522767449301454,1.561073043734772,0.036481480478149385
12,144,126,87.5,1.4754584769065995,1.6601437293904404,1.56780110314852,0.03693705049676817
13,143,127,88.81118881118881,1.4823709664502813,1.6671505544972585,1.57476076047377,0.03695591760939543
14,143,125,87.41258741258741,1.4891596750846854,1.67250540674473,1.5808325409147077,0.03666914633200893
15,143,124,86.7132867132867,1.4973617892962638,1.6782037513903936,1.5877827703433287,0.036168392418825926
16,143,123,86.01398601398601,1.5043032001506647,1.683392702362588,1.5938479512566264,0.03581790044238469
17,143,124,86.7132867132867,1.5102122189338953,1.6895748905094023,1.5998935547216488,0.035872534315101415
18,140,120,85.71428571428571,1.5171235544696613,1.695927409552146,1.6065254820109036,0.03576077101649689
19,140,118,84.28571428571429,1.5225615084420259,1.7024741726674897,1.6125178405547578,0.03598253284509274
20,140,118,84.28571428571429,1.5281680619890918,1.707356911926546,1.6177624869578189,0.03583776998749082
21,140,119,85.0,1.5318676478984754,1.712799843569949,1.6223337457342122,0.036186439134294715
22,140,118,84.28571428571429,1.5348324113215963,1.7177348052404804,1.6262836082810384,0.03658047878377681
23,140,119,85.0,1.5375826878535919,1.7211143643120663,1.629348526082829,0.03670633529169491
24,140,122,87.14285714285714,1.5389078623286605,1.7213800558767534,1.630143959102707,0.03649443870961856
25,140,124,88.57142857142857,1.5399854735893213,1.721716029100147,1.6308507513447341,0.036346111102165124
26,140,126,90.0,1.5396898954563876,1.720901125527192,1.6302955104917898,0.03624224601416085
27,140,127,90.71428571428571,1.5390329518534223,1.7183807628350836,1.628706857344253,0.03586956219633227
28,140,129,92.14285714285714,1.5362856856020524,1.7162039673227238,1.626244826462388,0.03598365634413425
29,140,129,92.14285714285714,1.5323749214135174,1.713067863099646,1.6227213922565817,0.03613858833722576
30,148,136,91.89189189189189,1.5267124286101055,1.7086974885056514,1.6177049585578784,0.036397011979109176
31,141,131,92.90780141843972,1.5213986831470383,1.702788245101081,1.6120934641240596,0.03627791239080855
32,141,133,94.32624113475177,1.515129049449646,1.6976018329396991,1.6063654411946726,0.03649455669801056
33,140,131,93.57142857142857,1.5082653064336762,1.6922462906395002,1.6002557985365882,0.036796196841164766
34,139,132,94.96402877697842,1.5014357436860073,1.6857223439383726,1.59357904381219,0.03685732005047305
35,138,132,95.65217391304348,1.4934301315163698,1.6801805893299733,1.5868053604231716,0.03735009156272066
36,142,134,94.36619718309859,1.4863260971397745,1.6733013639651166,1.5798137305524456,0.037395053365068404
37,138,130,94.20289855072464,1.4794782659236005,1.6658609534165956,1.572669609670098,0.03727653749859903
38,137,129,94.16058394160584,1.4731847407993066,1.6591527121666263,1.5661687264829665,0.0371935942734639
39,136,128,94.11764705882354,1.4668293161991706,1.6525068968715502,1.5596681065353604,0.037135516134475875
40,133,126,94.73684210526316,1.4607304865779906,1.646204883170879,1.5534676848744349,0.03709487931857769
41,132,125,94.6969696969697,1.456986339317133,1.6385684212236893,1.5477773802704111,0.036316416381311264
42,140,132,94.28571428571429,1.4509904573345769,1.6365978767606122,1.5437941670475945,0.03712148388520707
43,138,130,94.20289855072464,1.4461933208494595,1.633118495851035,1.5396559083502472,0.03738503500031511
44,137,129,94.16058394160584,1.4414852979871082,1.6308329719866241,1.5361591349868662,0.037869534799903196
45,136,128,94.11764705882354,1.438264658666125,1.6270580662285732,1.532661362447349,0.03775868151248961
46,134,127,94.77611940298507,1.4365352803781923,1.6211906156040041,1.5288629479910982,0.0369310670451624
47,131,124,94.65648854961832,1.4354746689419653,1.615733462251004,1.5256040655964846,0.036051758661807765
48,136,131,96.32352941176471,1.4315072779868536,1.616938430442158,1.5242228542145058,0.03708623049106084
49,133,128,96.2406015037594,1.4303051153332138,1.612606871984025,1.5214559936586194,0.03646035133016227
50,130,125,96.15384615384616,1.4305135611352424,1.6091248494417807,1.5198192052885116,0.035722257661307676
51,129,124,96.12403100775194,1.4302095058123239,1.6077373575589993,1.5189734316856616,0.03550557034933505
52,127,122,96.06299212598425,1.4302966811052935,1.6070661272600646,1.518681404182679,0.03535388923095421
53,124,119,95.96774193548387,1.4318576844984672,1.6050962853627153,1.5184769849305912,0.03464772017284958
54,123,116,94.3089430894309,1.4338503931679394,1.6046174023288213,1.5192338977483804,0.03415340183217635
55,123,115,93.4959349593496,1.4356953281464822,1.6062321143961353,1.5209637212713087,0.03410735724993067
56,123,112,91.0569105691057,1.4372867072435074,1.607662516269235,1.5224746117563712,0.03407516180514556
57,123,112,91.0569105691057,1.441100637849996,1.6083638014427857,1.5247322196463908,0.033452632718557945
58,121,111,91.73553719008264,1.4443704888381368,1.6124545831901256,1.5284125360141312,0.03361681887039779
59,122,111,90.98360655737704,1.4499593599250378,1.612618183056086,1.5312887714905619,0.0325317646262096
60,148,132,89.1891891891892,1.4530465490149778,1.623157671562531,1.5381021102887544,0.03402222450951066
61,142,130,91.54929577464789,1.4570825617084031,1.630160367518851,1.543621464613627,0.03461556116208959
62,141,125,88.65248226950355,1.4609578554231313,1.6361121607036713,1.5485350080634013,0.035030861056107976
63,140,124,88.57142857142857,1.465770507164684,1.6408785602001275,1.5533245336824058,0.03502161060708869
64,139,124,89.20863309352518,1.4701893677468307,1.6452649548037397,1.5577271612752852,0.03501511741138176
65,138,123,89.1304347826087,1.4738075499841217,1.6511104265916825,1.562458988287902,0.03546057532151215
66,144,126,87.5,1.477690286991601,1.6565522662846184,1.5671212766381097,0.03577239585860342
67,143,126,88.1118881118881,1.4809332363708054,1.6616365331842058,1.5712848847775056,0.036140659362680114
68,143,126,88.1118881118881,1.4857532412839198,1.6632456077042708,1.5744994244940953,0.03549847328407017
69,143,126,88.1118881118881,1.4901771686198892,1.6639219924839774,1.5770495805519333,0.03474896477281762
70,143,126,88.1118881118881,1.4932739713992482,1.6673954768501427,1.5803347241246954,0.03482430109017887
71,143,126,88.1118881118881,1.4949917659604612,1.6708768398032479,1.5829343028818545,0.035177014768557335
72,140,123,87.85714285714286,1.495369219363813,1.6762387875046456,1.5858040034342293,0.03617391362816653
73,140,123,87.85714285714286,1.4965334519811064,1.6793921854424763,1.5879628187117913,0.03657174669227394
