frame,visible_points,correct_points,accuracy_percent,band_lo,band_hi,band_med,band_mad
0,149,140,93.95973154362416,1.429499864578247,1.624500036239624,1.5269999504089355,0.03900003433227539
1,146,139,95.20547945205479,1.4288249135017392,1.6245750308036802,1.5266999721527097,0.03915002346038818
2,145,139,95.86206896551724,1.428727420568466,1.6242525541782376,1.5264899873733517,0.03910502672195434
3,143,133,93.00699300699301,1.431359230160713,1.6237267349958417,1.5275429825782774,0.038473500967025745
4,143,133,93.00699300699301,1.4359764835000037,1.6238837218642233,1.5299301026821135,0.03758144767284392
5,143,132,92.3076923076923,1.4409334626328942,1.6249686582338805,1.5329510604333874,0.03680703912019729
6,145,131,90.34482758620689,1.4457535183998342,1.6285779965337512,1.5371657574667927,0.03656489562678336
7,144,128,88.88888888888889,1.450102379481065,1.6328296586564655,1.5414660190687652,0.036545455835080135
8,146,128,87.67123287671232,1.4542716526906165,1.6376807488286529,1.5459762007596347,0.03668181922760724
9,146,128,87.67123287671232,1.4591401009504328,1.6430265583692811,1.551083329659857,0.036777291483769646
10,146,128,87.67123287671232,1.4662230970582397,1.648193602231063,1.5572083496446514,0.036394101034564655
11,146,128,87.67123287671232,1.4718561722323023,1.6532355458804393,1.5625458590563708,0.036275874729627386
12,144,126,87.5,1.4789493290026294,1.6584148404884236,1.5686820847455265,0.03589310229715885
13,143,126,88.1118881118881,1.4860145653493717,1.6641403733215259,1.5750774693354488,0.03562516159443087
14,143,126,88.1118881118881,1.4932101750021436,1.668898299233622,1.5810542371178828,0.03513762484629569
15,143,126,88.1118881118881,1.4998970715752917,1.6753788872833595,1.5876379794293256,0.035096363141613525
16,143,125,87.41258741258741,1.5066779794281893,1.682015200355935,1.5943465898920621,0.03506744418554914
17,143,125,87.41258741258741,1.5126245994756937,1.6878606040572142,1.600242601766454,0.035047200916304075
18,143,124,86.7132867132867,1.5176872398031973,1.6928523929423598,1.6052698163727785,0.03503303062783253
19,143,125,87.41258741258741,1.5227311044833318,1.7008466229890342,1.611788863736183,0.03562310370114048
20,143,123,86.01398601398601,1.5262617203524589,1.7064426734286733,1.616352196890566,0.036036190615242915
21,143,124,86.7132867132867,1.5299331628334139,1.7085598693258295,1.6192465160796217,0.03572534129848315
22,143,125,87.41258741258741,1.5340032516058413,1.7115418960826307,1.622772573844236,0.03550772889535788
23,142,123,86.61971830985915,1.5373022364273954,1.7140793269002135,1.6256907816638044,0.03535541809456363
24,141,122,86.52482269503547,1.5385615750836035,1.7148054883466748,1.6266835317151391,0.03524878265261422
25,141,125,88.65248226950355,1.5404930718025258,1.7148638697376462,1.627678470770086,0.03487415958702404
26,141,125,88.65248226950355,1.5392950718697391,1.713854759170356,1.6265749155200475,0.03491193746012337
27,141,127,90.0709219858156,1.5386066040960487,1.7117982650435166,1.6252024345697826,0.03463833218949358
28,141,130,92.19858156028369,1.5363246998287512,1.708558742329015,1.622441721078883,0.03444680850005273
29,141,130,92.19858156028369,1.5324772974618366,1.7055410771441193,1.619009187302978,0.03461275593645659
30,149,134,89.93288590604027,1.5267841365474124,1.7034286936332992,1.6151064150903558,0.035328911417177325
31,142,130,91.54929577464789,1.5212238503075004,1.6996250953423129,1.6104244728249066,0.035680249006962476
32,140,129,92.14285714285714,1.515156700293566,1.6955375725331905,1.6053471364133782,0.03607617444792488
33,143,132,92.3076923076923,1.5086596348447021,1.690426335534662,1.599542985189682,0.036353340137992
34,142,132,92.95774647887323,1.501561739742129,1.6842984309403568,1.592930085341243,0.036547338239645545
35,141,131,92.90780141843972,1.4937432677443407,1.6801588242675787,1.5869510460059597,0.037283111304647634
36,142,132,92.95774647887323,1.4874452987936044,1.674186134715691,1.5808157167546477,0.03734816718441728
